record_type,employee_id,date_id,year,quarter,month,region_id,region_name,region_type,labor_market_code,department_id,department_name,role_id,job_role,job_level,role_family,occupation_group,role_criticality,age_band,gender,education_level,marital_status,distance_from_home_band,monthly_income,annualized_income,salary_band,years_at_company,years_in_current_role,years_since_last_promotion,overtime_flag,training_times_last_year,job_satisfaction,environment_satisfaction,work_life_balance,performance_rating,attrition_flag,estimated_replacement_cost,attrition_probability,risk_band,main_risk_driver,recommended_action,model_version,attrition_risk_rate_flag,unemployment_rate,wage_index,labor_demand_index,external_pressure_score,role_criticality_score,retention_priority_index
employee_month,1,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,40-49,Female,2,Single,0-5,5993,71916,Mid,6,4,0,1,0,4,2,1,3,1,86299.2,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.661
employee_month,2,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,40-49,Male,1,Married,6-10,5130,61560,Mid,10,7,1,0,3,2,3,3,4,0,73872.0,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.407
employee_month,4,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,2,Single,0-5,2090,25080,Low,0,0,0,1,3,3,4,3,3,1,20064.0,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.516
employee_month,5,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Female,4,Married,0-5,2909,34908,Low,8,7,3,1,3,3,4,3,3,0,41889.6,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.632
employee_month,7,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Male,1,Married,0-5,3468,41616,Low,2,2,2,0,3,2,1,3,3,0,33292.8,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,8,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,2,Single,0-5,3068,36816,Low,7,7,3,0,2,4,4,2,3,0,29452.8,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.591
employee_month,10,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,50+,Female,3,Married,0-5,2670,32040,Low,1,0,0,1,3,1,3,2,4,0,25632.0,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.616
employee_month,11,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,1,Divorced,11+,2693,32316,Low,1,0,0,0,2,3,4,3,4,0,25852.8,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,12,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,5,Manufacturing Director,1,,,,30-39,Male,3,Single,11+,9526,114312,High,9,7,1,0,2,3,4,3,4,0,91449.6,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.358
employee_month,13,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,1,Healthcare Representative,1,,,,30-39,Male,3,Married,11+,5237,62844,Mid,7,7,7,0,3,3,3,2,3,0,50275.2,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.533
employee_month,14,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,3,Married,11+,2426,29112,Low,5,4,0,0,5,2,1,3,3,0,23289.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,15,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Female,2,Single,11+,4193,50316,Low,9,5,0,1,3,3,4,3,3,0,40252.8,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.516
employee_month,16,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,1,Divorced,11+,2911,34932,Low,5,2,4,0,1,3,1,2,3,0,41918.4,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.632
employee_month,18,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,2,Divorced,11+,2661,31932,Low,2,2,1,0,2,4,2,3,3,0,25545.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,19,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Male,3,Single,11+,2028,24336,Low,4,2,0,1,4,3,3,3,3,1,19468.8,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.516
employee_month,20,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,5,Manufacturing Director,1,,,,18-29,Female,4,Divorced,11+,9980,119760,High,10,9,8,0,1,1,2,3,3,0,95808.0,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.433
employee_month,21,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,2,Divorced,0-5,3298,39576,Low,6,2,0,1,5,2,1,2,3,0,47491.2,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.657
employee_month,22,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Male,2,Divorced,11+,2935,35220,Low,1,0,0,1,2,4,4,2,3,0,28176.0,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.616
employee_month,23,202401,2024,1,1,us_national,United States,country,US,3,Sales,4,Manager,1,,,,50+,Female,4,Married,0-5,15427,185124,High,25,8,3,0,3,4,1,3,3,0,148099.2,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.433
employee_month,24,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,3,Single,0-5,3944,47328,Low,3,2,1,1,3,4,4,3,3,0,56793.6,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.557
employee_month,26,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,5,Manufacturing Director,1,,,,18-29,Female,2,Divorced,11+,4011,48132,Low,4,2,1,0,5,3,1,2,3,0,38505.6,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.508
employee_month,27,202401,2024,1,1,us_national,United States,country,US,3,Sales,9,Sales Representative,1,,,,30-39,Male,4,Single,6-10,3407,40884,Low,5,3,0,0,4,1,3,3,4,1,32707.2,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.408
employee_month,28,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,6,Research Director,1,,,,30-39,Female,4,Single,6-10,11994,143928,High,12,6,2,0,4,2,1,3,3,0,115142.4,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.358
employee_month,30,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,18-29,Male,2,Single,11+,1232,14784,Low,0,0,0,0,6,4,3,3,3,0,17740.8,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.457
employee_month,31,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,1,Single,6-10,2960,35520,Low,4,2,1,0,2,1,2,3,3,1,42624.0,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.457
employee_month,32,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,4,Manager,1,,,,50+,Female,3,Divorced,0-5,19094,229128,High,14,13,4,0,3,3,3,2,3,0,183302.4,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.533
employee_month,33,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Female,1,Single,11+,3919,47028,Low,10,2,6,1,5,1,2,3,4,1,56433.6,0.6,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.632
employee_month,35,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,40-49,Male,4,Married,6-10,6825,81900,High,9,7,4,0,2,2,3,3,3,0,98280.0,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.536
employee_month,36,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,1,Healthcare Representative,1,,,,40-49,Female,4,Married,6-10,10248,122976,High,22,6,5,0,4,4,1,3,3,0,98380.8,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.433
employee_month,38,202401,2024,1,1,us_national,United States,country,US,3,Sales,4,Manager,1,,,,40-49,Female,4,Single,0-5,18947,227364,High,2,2,2,0,2,1,2,2,3,0,181891.2,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.458
employee_month,39,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,3,Single,0-5,2496,29952,Low,1,1,0,0,3,4,3,3,3,0,23961.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,40,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,1,Healthcare Representative,1,,,,40-49,Male,4,Married,6-10,6465,77580,Mid,4,2,1,1,5,4,4,4,3,0,62064.0,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.458
employee_month,41,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,2,Single,6-10,2206,26472,Low,10,0,1,0,5,3,4,3,3,0,21177.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,42,202401,2024,1,1,us_national,United States,country,US,3,Sales,9,Sales Representative,1,,,,30-39,Male,3,Married,0-5,2086,25032,Low,1,0,0,0,6,4,4,4,3,1,20025.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.408
employee_month,45,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,18-29,Male,3,Married,0-5,2293,27516,Low,2,0,2,1,2,4,2,2,3,1,33019.2,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.657
employee_month,46,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,40-49,Female,2,Divorced,0-5,2645,31740,Low,5,3,1,0,3,3,4,2,3,0,38088.0,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.557
employee_month,47,202401,2024,1,1,us_national,United States,country,US,3,Sales,9,Sales Representative,1,,,,50+,Male,2,Married,0-5,2683,32196,Low,3,2,0,1,2,3,1,3,3,1,25756.8,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.508
